sample,operator_kappa,spearman
0,1,0.2342378384056934
0,2,0.20184890431657249
0,5,0.15805775472069236
0,10,0.1271770505507474
0,50,0.09941755775695586
0,100,0.09815996933338099
0,500,0.09592318369572991
1,1,0.2564125308454331
1,2,0.25992300935197765
1,5,0.2450712685966669
1,10,0.24073466892568482
1,50,0.23855890360131607
1,100,0.23515374660253197
1,500,0.2322303595057578
2,1,0.21259016701237393
2,2,0.22004671518489377
2,5,0.2307856421214505
2,10,0.23312726870395534
2,50,0.23735692636435163
2,100,0.23716448885988126
2,500,0.23803825280738142
3,1,0.29609463289464266
3,2,0.2945191465202775
3,5,0.2705320725448823
3,10,0.26133692600672337
3,50,0.2491043201487733
3,100,0.24367455162363208
3,500,0.2424654218224733
4,1,0.35909581530291107
4,2,0.4246853542307417
4,5,0.47912662720835414
4,10,0.4968097440276088
4,50,0.5056051628102425
4,100,0.506361691760246
4,500,0.5083476794399542
5,1,0.11617287524139903
5,2,0.11884951004935268
5,5,0.11811040429869106
5,10,0.11872385961304627
5,50,0.11352185555396609
5,100,0.11208791171947641
5,500,0.11303639761104353
6,1,0.3116075164508976
6,2,0.3758480035405192
6,5,0.43209244912738715
6,10,0.4556047269508619
6,50,0.4819160154853014
6,100,0.4829654531149416
6,500,0.48274009146341457
7,1,0.3747153950003576
7,2,0.41683815311851796
7,5,0.44529583676060364
7,10,0.4505274569058007
7,50,0.4614818995422359
7,100,0.46054121441599316
7,500,0.4632541820148773
8,1,0.2926155697911451
8,2,0.2948924321400472
8,5,0.2900369027608898
8,10,0.2881573988806237
8,50,0.28616509682783775
8,100,0.28494903798011584
8,500,0.2844469950289678
9,1,0.2986619675810027
9,2,0.21755143140690938
9,5,0.09499696016021743
9,10,0.029018634664902364
9,50,-0.03625460446320005
9,100,-0.04717118321293183
9,500,-0.05749282508404263
10,1,0.27322499061225947
10,2,0.28272235533938916
10,5,0.27166822383949646
10,10,0.26213013419998565
10,50,0.2510895478685359
10,100,0.2465491671733066
10,500,0.2445718296259209
11,1,0.08599235122666475
11,2,0.13623367203705028
11,5,0.18268812361419065
11,10,0.20530661031042127
11,50,0.2252652483727916
11,100,0.2283482829375581
11,500,0.23114919354838703
12,1,0.3062178805164151
12,2,0.30474687745869394
12,5,0.2766291194299406
12,10,0.25507433078821257
12,50,0.23050442341391889
12,100,0.22518982234818677
12,500,0.21955183597382164
13,1,0.298966476825692
13,2,0.3201282097131821
13,5,0.32833201085401614
13,10,0.33204194531864667
13,50,0.33712321632930403
13,100,0.3377072343716472
13,500,0.33796329616980186
14,1,0.22712017648952149
14,2,0.23588295052213715
14,5,0.24847032356412274
14,10,0.2449645165760675
14,50,0.246525552535584
14,100,0.24968074976754162
14,500,0.2497542200128746
15,1,0.2729734103426078
15,2,0.2645214934554037
15,5,0.2508255288427151
15,10,0.24268279271868962
15,50,0.23225786335026105
15,100,0.23087408804806517
15,500,0.22400245198841282
16,1,0.35899409242901076
16,2,0.36510553384951
16,5,0.3677516808525856
16,10,0.36802989324797936
16,50,0.3715104427437236
16,100,0.3733455336706959
16,500,0.37462890485301475
17,1,0.3369128862384665
17,2,0.3709679654531149
17,5,0.37842641352549883
17,10,0.3806454630391245
17,50,0.3755392698126028
17,100,0.3743527264680638
17,500,0.3729954603569129
18,1,0.3715901267792003
18,2,0.33800340640869747
18,5,0.2770806026929404
18,10,0.25343915403046985
18,50,0.2257887490165224
18,100,0.22055007689006506
18,500,0.21865832424361634
19,1,0.27189683767255557
19,2,0.2807175027716186
19,5,0.28198923986124025
19,10,0.28084991461626485
19,50,0.2795575133216508
19,100,0.27928667700808235
19,500,0.2795353068450039
20,1,0.2148483209355554
20,2,0.257679004094843
20,5,0.29165585213861667
20,10,0.3103411326085401
20,50,0.33216220898004434
20,100,0.3338208103855232
20,500,0.3362589742328875
21,1,0.27351354069809025
21,2,0.2603854896824261
21,5,0.20877091007438667
21,10,0.18143824654888777
21,50,0.16787658250482795
21,100,0.16272376350046489
21,500,0.15790344932408268
22,1,0.3441248390673056
22,2,0.28765312075316496
22,5,0.1912783532115013
22,10,0.1445131562477648
22,50,0.09925858084185679
22,100,0.08965697866747728
22,500,0.08297196865388741
23,1,0.23544711349331235
23,2,0.2715742011479865
23,5,0.29196948090265357
23,10,0.29978005865102636
23,50,0.3020966289070882
23,100,0.30350047609255415
23,500,0.3033316308740433
24,1,0.30282357529861953
24,2,0.2957777743008368
24,5,0.2604878607574565
24,10,0.2500351593233674
24,50,0.23505377834203559
24,100,0.23644986946570343
24,500,0.2361312115549674
25,1,0.4098069254702811
25,2,0.4631069956548172
25,5,0.5020591561762391
25,10,0.514355173986124
25,50,0.5245231027823475
25,100,0.5267312334596952
25,500,0.5297677763571991
26,1,0.39460292092840277
26,2,0.34231766549245407
26,5,0.2670492096416565
26,10,0.22821233951434086
26,50,0.18195495225663397
26,100,0.17724605044345898
26,500,0.17240002056362205
27,1,0.3886961210750303
27,2,0.36704078302696513
27,5,0.32335496611472714
27,10,0.2902609009548673
27,50,0.26142710419497883
27,100,0.2575493303411773
27,500,0.2521294524712109
28,1,0.19890970334740002
28,2,0.22112770232815968
28,5,0.24084824940991348
28,10,0.24020898898505116
28,50,0.23709414786138328
28,100,0.23700402555253558
28,500,0.23677847391102208
29,1,0.2727069549746084
29,2,0.29172712073528356
29,5,0.2996005516415135
29,10,0.3016035490129461
29,50,0.30428201666547455
29,100,0.30669549299048704
29,500,0.30841641111150847
30,1,0.2634666466990916
30,2,0.2580976190901938
30,5,0.23715797332093555
30,10,0.22762736034618405
30,50,0.2177694393283742
30,100,0.2159979168156784
30,500,0.21526952873542662
31,1,0.22974935850439882
31,2,0.2343621700879765
31,5,0.24044553769401328
31,10,0.2424885223696445
31,50,0.2443811914383806
31,100,0.24470772834561186
31,500,0.24470379443530502
32,1,0.30575552312066373
32,2,0.3531635567913597
32,5,0.3900026598598097
32,10,0.40941200334382377
32,50,0.4301266450897646
32,100,0.43099608397110356
32,500,0.4311923548029468
33,1,0.40435393346327153
33,2,0.36415367284171374
33,5,0.26906496986982326
33,10,0.20395414982833845
33,50,0.13507171563192905
33,100,0.12321993911379728
33,500,0.11405818610972034
34,1,0.30177276303554823
34,2,0.32259407857091765
